"# cpe-extra.csv — component identity that Buildroot's own metadata does not give us."
"# Read by scripts/compliance/cve-check.py. Three kinds of row:"
"#   1. CPE declared      — a cpe:2.3 string for a component Buildroot has no CPE_ID for,"
"#                          so it gets checked instead of counted as an unchecked gap."
"#   2. CPE=NONE          — the component genuinely has no NVD presence. NOTES must say"
"#                          why, and how its vulnerabilities are found instead."
"#   3. component added    — a COMPONENT name that is not in the Buildroot package list is"
"#                          ADDED to the inventory. That is how the kernel, U-Boot and the"
"#                          Rockchip SDK get checked at all: they are in the image but are"
"#                          not Buildroot packages."
"# MODE: gate (default — findings can block a release) or report-only (counted and listed,"
"#       never blocking; for components whose fix is a version rebase, not per-CVE triage)."
"# A wrong CPE is worse than a missing one: it reports a component as clean instead of"
"# reporting it as unchecked. Verify against the NVD CPE dictionary before adding a row"
"# (cve-check.py --suggest-cpe prints candidates)."
"# Coverage-gap closure 2026-08-12: the 19 components the report listed as NOT"
"# CHECKED. Every name below was resolved against the NVD CPE dictionary on"
"# 2026-08-12 (keyword search incl. upstream aliases: cdialog, v4l-utils, GNU"
"# libiconv, GNU time). Exactly one has an NVD identity — GNU nano. The NONE"
"# rows mean NVD has never issued an advisory under any name for the project;"
"# their vulnerabilities reach us through upstream releases and distro"
"# advisories, which the quarterly review of this file is the checkpoint for."
"LAYER","COMPONENT","VERSION","CPE","MODE","NOTES"
"media-gateway","media-gateway (daemon)","","NONE","gate","First-party daemon — no NVD presence. Found by our own testing and by reports to security@joralllc.com."
"media-gateway","media-gateway web console","","NONE","gate","First-party console (static HTML/JS + CGI shell scripts) — no NVD presence."
"media-gateway","plca-config","","NONE","gate","First-party CLI — no NVD presence."
"platform","argp-standalone","1.4.1","NONE","gate","glibc argp() extracted as a standalone library for uclibc; no NVD CPE dictionary entry under argp or argp-standalone. Link-time helper, no network exposure."
"platform","bmon","4.0","NONE","gate","No NVD CPE dictionary entry. Interactive bandwidth monitor, operator-invoked only."
"platform","ca-certificates","20230311","NONE","gate","Data-only package (Mozilla CA trust store snapshot), ships no executable code; no NVD CPE dictionary entry. Currency of the trust store is a maintenance concern, not a CVE-matching one."
"platform","can-utils","2021.08.0","NONE","gate","No NVD CPE dictionary entry. Operator diagnostic tools for the CAN bench (candump/cansend); not started by any init script."
"platform","dialog","1.3-20220117","NONE","gate","No NVD CPE dictionary entry under dialog or its upstream name cdialog (keyword matches are unrelated products). Local TUI helper."
"platform","evtest","1.35","NONE","gate","No NVD CPE dictionary entry. Local input-device diagnostic."
"platform","htop","3.2.1","NONE","gate","No NVD CPE dictionary entry (verified 2026-08-12 — the project has never had an NVD advisory). Local process monitor."
"platform","ifupdown-scripts","","NONE","gate","Buildroot-internal shell scripts, not an upstream codebase; no NVD presence possible. Reviewed as part of our own image, not via advisories."
"platform","initscripts","","NONE","gate","Buildroot-internal init scripts; same as ifupdown-scripts."
"platform","libconfig","1.7.3","NONE","gate","Pulled in by swupdate as its sw-description parser. No NVD CPE dictionary entry under either plausible vendor - queried cpe:2.3:a:libconfig:libconfig and cpe:2.3:a:hyperrealm:libconfig (upstream org) on 2026-08-15, both 0 results. Vulnerabilities would surface via swupdate advisories or upstream release notes."
"platform","libdrm","2.4.115","NONE","gate","No NVD CPE dictionary entry (DRM CVEs are tracked against the kernel, which is checked separately as linux-kernel). Userspace wrapper library."
"platform","libiconv","1.15","NONE","gate","No NVD CPE dictionary entry for GNU libiconv (iconv CVEs in NVD are glibc's implementation, which this uclibc image does not ship)."
"platform","libnftnl","1.2.5","cpe:2.3:a:netfilter:libnftnl:1.2.5:*:*:*:*:*:*:*","gate","Buildroot declares no CPE_ID for this package; vendor/product verified against the NVD CPE dictionary (cpe:2.3:a:netfilter:libnftnl)."
"platform","libpthread-stubs","0.4","NONE","gate","Weak-symbol stub library, effectively empty on Linux; no NVD presence."
"platform","libv4l","1.22.1","NONE","gate","No NVD CPE dictionary entry under libv4l or v4l-utils. V4L2 CVEs are kernel-side, checked under linux-kernel."
