"# platform-extra.csv — platform components that Buildroot's legal-info manifest cannot see."
"#"
"# The SBOM's platform layer comes from `make legal-info`, which enumerates only"
"# packages Buildroot BUILT from a source archive. Two kinds of component are in"
"# the image and absent from it:"
"#"
"#   1. Not Buildroot packages at all — the kernel, U-Boot, the Rockchip"
"#      bootloader blobs and the Rockchip media SDK are built or dropped in by"
"#      the vendor SDK's own makefiles."
"#   2. Buildroot-INTERNAL packages that carry no source archive — the rootfs"
"#      skeleton, the init and network scripts, and the external-toolchain"
"#      wrapper (which is what ships uClibc-ng, libgcc and libstdc++). They"
"#      install real files into the rootfs but legal-info omits them, so an"
"#      SBOM built from legal-info alone does not name the product's C library."
"#"
"# Same six columns as each product's docs/compliance/app-manifest.csv, and the"
"# rows are emitted into the SBOM verbatim."
"#"
"# PAIRED WITH cpe-extra.csv, WHICH IS ENFORCED. cve-check.py adds the same"
"# components to the CVE inventory from its own file. Until 2026-08-22 that was"
"# the ONLY place they were declared, so the CVE report checked the kernel while"
"# the SBOM did not list it, and the CVE report's own header claimed the two"
"# 'describe the same image by construction'. gen-sbom.sh now fails unless the"
"# added-component sets in the two files match, name for name and version for"
"# version. Add a component here and it must be added there; bump a version in"
"# one and the build fails until the other agrees."
"LAYER","COMPONENT","VERSION","LICENSE","ORIGIN","NOTES"
"platform","linux-kernel","5.10.252","GPL-2.0 WITH Linux-syscall-note","Rockchip develop-5.10 vendor kernel plus the Luckfox carry set (sysdrv/source/kernel)","Not a Buildroot package. Ships in the single-copy `boot` FIT, so it is the one component the A/B updater cannot replace — a kernel change reaches a unit only by reflash. Refreshed 5.10.160 to 5.10.252 on 2026-08-21 and made the in-tree default 2026-08-22; the local delta is the six-patch series in media/joral/kernel-port/. Upstream 5.10 stable EOL is Dec 2026: see media/joral/kernel-currency-plan.md for the re-base trigger."
"platform","u-boot","2017.09","GPL-2.0+","Rockchip vendor U-Boot (sysdrv/source/uboot/u-boot)","Not a Buildroot package, and not independently bumpable — the fork carries the RV1106 SoC support. Not network-facing in this product: no netboot and no USB mass-storage boot path is enabled."
"platform","rockchip-rkbin","RV1106MINIALL v1.15.108","proprietary (Rockchip, as-is; sysdrv/source/uboot/rkbin/LICENSE)","Rockchip rkbin (sysdrv/source/uboot/rkbin)","Closed-source blobs that run BEFORE U-Boot and are packed into idblock.img and download.bin per RKBOOT/RV1106MINIALL.ini: DDR init rv1106_ddr_924MHz_v1.15.bin and SPL rv1106_spl_v1.02.bin. rv1106_usbplug_v1.09.bin is loaded by the host flashing tool in MaskROM mode and is not resident in the image. No source, no NVD identity; fixes arrive only as a new Rockchip rkbin drop."
"platform","rockchip-media-sdk","RV1106 vendor SDK (media/)","proprietary (Rockchip)","Rockchip RV1106 media SDK (media/)","Closed-source ISP/media/NPU libraries shipped as binaries (librkaiq, rockit, librknnmrt). Only librknnmrt is loaded at runtime, by the satisense-edge daemon; it moved into the rootfs on 2026-08-19 so that /oem could be emptied."
"platform","toolchain-external-custom","gcc 8.3.0 / uClibc-ng 1.0.31 (crosstool-NG 1.24.0)","LGPL-2.1 (uClibc-ng); GPL-3.0+ WITH GCC-exception-3.1 (libgcc_s, libstdc++, libatomic)","Prebuilt arm-rockchip830-linux-uclibcgnueabihf toolchain (tools/linux/toolchain)","Buildroot-internal wrapper around the prebuilt vendor toolchain, and the reason the image's C library was missing from the SBOM until 2026-08-22. Runtime libraries actually installed: ld-uClibc/libuClibc 1.0.31, libgcc_s.so.1, libstdc++.so.6.0.25, libatomic.so.1.2.0. Toolchain currency is tracked with the vendor-base items, not per-CVE."
"platform","skeleton-init-common","buildroot 2023.02.6","GPL-2.0+ (Buildroot)","Buildroot 2023.02.6 (package/skeleton-init-common)","Buildroot-internal: the rootfs directory layout and stock /etc files. No upstream source archive, so legal-info omits it."
"platform","skeleton-init-sysv","buildroot 2023.02.6","GPL-2.0+ (Buildroot)","Buildroot 2023.02.6 (package/skeleton-init-sysv)","Buildroot-internal: the sysv-init half of the rootfs skeleton (/etc/inittab, /etc/init.d layout)."
"platform","initscripts","buildroot 2023.02.6","GPL-2.0+ (Buildroot)","Buildroot 2023.02.6 (package/initscripts)","Buildroot-internal: /etc/init.d/rcS and rcK, which run every S* script in the image."
"platform","ifupdown-scripts","buildroot 2023.02.6","GPL-2.0+ (Buildroot)","Buildroot 2023.02.6 (package/ifupdown-scripts)","Buildroot-internal: /etc/network/interfaces and the if-pre-up.d/if-post-down.d hooks."
"platform","urandom-scripts","buildroot 2023.02.6","GPL-2.0+ (Buildroot)","Buildroot 2023.02.6 (package/urandom-scripts)","Buildroot-internal: /etc/init.d/S01seedrng, which seeds the kernel CSPRNG at boot. Relevant to Annex I Part I #3 — every per-unit key this product mints draws from that pool."
