# J1939 PGN dictionary — <PGN decimal>\t<acronym>\t<name>
#
# Used by can-routes-apply.sh to accept names in place of numbers, and by the
# configuration page to label PGNs. Any PGN may still be given as a decimal or
# 0x-hex number whether or not it appears here — this file is a convenience,
# never a whitelist of what is routable.
#
# Sourced from SAE J1939-71 / J1939-DA parameter group assignments. Entries
# marked (TP) are normally multi-packet: a frame-level filter cannot match them
# by PGN, because they travel as TP.CM/TP.DT frames whose identifiers carry the
# transport PGN (60416/60160), not the payload PGN. can-routes-apply.sh warns
# when one is used in a route.
#
# Keep sorted by PGN. Tab-separated; '#' begins a comment.

0	TSC1	Torque/Speed Control 1
256	TSC1_DE	Torque/Speed Control 1 (destination specific)
1024	ERC1_DE	Electronic Retarder Controller 1 (dest specific)
1280	EBC1_DE	Electronic Brake Controller 1 (dest specific)
2048	CM1	Cab Message 1
2560	TCFG	Transmission Configuration
51456	RQST2	Request 2
51712	TF	Transfer
53248	TPDT	Transport Protocol Data Transfer (TP)
55552	AC	Address Claimed / Cannot Claim
56320	TPCM	Transport Protocol Connection Mgmt (TP)
57344	CM	Cab Message
57600	EBC2	Electronic Brake Controller 2
58112	VDC1	Vehicle Dynamic Stability Control 1
58368	TCO1	Tachograph
58624	VDC2	Vehicle Dynamic Stability Control 2
59392	ACKM	Acknowledgment Message
59904	RQST	Request
60160	TP_DT	Transport Protocol Data Transfer (TP)
60416	TP_CM	Transport Protocol Connection Mgmt (TP)
60671	ETC7	Electronic Transmission Controller 7
60928	AC_CA	Address Claimed
61184	PropA	Proprietary A
61440	ERC1	Electronic Retarder Controller 1
61441	EBC1	Electronic Brake Controller 1
61442	ETC1	Electronic Transmission Controller 1
61443	EEC2	Electronic Engine Controller 2
61444	EEC1	Electronic Engine Controller 1
61445	ETC2	Electronic Transmission Controller 2
61446	HRW	Hydraulic Retarder Wear
61447	ABL	Air Brake Load
61448	AIR1	Air Supply Pressure 1
61449	VDS	Vehicle Distance Setting
61450	EGF1	Engine Gas Flow Rate
61451	CVW	Cargo Weight
61452	EOI	Engine Operating Info
61453	AT1IG1	Aftertreatment 1 Intake Gas 1
61454	AT1OG1	Aftertreatment 1 Outlet Gas 1
61455	AT2IG1	Aftertreatment 2 Intake Gas 1
61456	AT2OG1	Aftertreatment 2 Outlet Gas 1
61457	VEP2	Vehicle Electrical Power 2
61458	SHUTDN	Shutdown
61459	TRF1	Transmission Fluids 1
61460	ETC5	Electronic Transmission Controller 5
61461	ETC6	Electronic Transmission Controller 6
61462	EEC5	Electronic Engine Controller 5
61463	EEC4	Electronic Engine Controller 4
61464	EEC3	Electronic Engine Controller 3
61465	VF	Vehicle Fluids
61466	TC1	Transmission Control 1
61467	ETC3	Electronic Transmission Controller 3
61468	ETC4	Electronic Transmission Controller 4
64777	HOURS2	Engine Hours Alternate
64891	AT1S	Aftertreatment 1 Service
64892	AT1T1I	Aftertreatment 1 Trip 1 Info
64914	EI	Engine Information
64932	ETC8	Electronic Transmission Controller 8
64965	ET3	Engine Temperature 3
64976	CCSS	Cruise Control Set Speed
